,0
0,pain chest
1,shortness of breath
2,dizziness
3,asthenia
4,fall
5,syncope
6,vertigo
7,sweat sweating increased
8,palpitation
9,nausea
10,angina pectoris
11,pressure chest
12,polyuria
13,polydypsia
14,shortness of breath
15,pain chest
16,asthenia
17,nausea
18,orthopnea
19,rale
20,sweat sweating increased
21,unresponsiveness
22,mental status changes
23,vertigo
24,vomiting
25,labored breathing
26,feeling suicidal
27,suicidal
28,hallucinations auditory
29,feeling hopeless
30,weepiness
31,sleeplessness
32,motor retardation
33,irritable mood
34,blackout
35,mood depressed
36,hallucinations visual
37,worry
38,agitation
39,tremor
40,intoxication
41,verbal auditory hallucinations
42,energy increased
43,difficulty
44,nightmare
45,unable to concentrate
46,homelessness
47,pain chest
48,angina pectoris
49,shortness of breath
50,hypokinesia
51,sweat sweating increased
52,pressure chest
53,dyspnea on exertion
54,orthopnea
55,chest tightness
56,cough
57,fever
58,decreased translucency
59,shortness of breath
60,rale
61,productive cough
62,pleuritic pain
63,yellow sputum
64,breath sounds decreased
65,chill
66,rhonchus
67,green sputum
68,non-productive cough
69,wheezing
70,haemoptysis
71,distress respiratory
72,tachypnea
73,malaise
74,night sweat
75,shortness of breath
76,orthopnea
77,jugular venous distention
78,rale
79,dyspnea
80,cough
81,wheezing
82,dysarthria
83,asthenia
84,speech slurred
85,facial paresis
86,hemiplegia
87,unresponsiveness
88,seizure
89,numbness
90,wheezing
91,cough
92,shortness of breath
93,chest tightness
94,non-productive cough
95,pleuritic pain
96,productive cough
97,symptom aggravating factors
98,distress respiratory
99,pain chest
100,st segment elevation
101,sweat sweating increased
102,shortness of breath
103,st segment depression
104,hypokinesia
105,angina pectoris
106,pressure chest
107,t wave inverted
108,orthopnea
109,rale
110,chest tightness
111,presence of q wave
112,palpitation
113,dyspnea
114,chest discomfort
115,bradycardia
116,syncope
117,pain
118,pain chest
119,sweat sweating increased
120,nonsmoker
121,pressure chest
122,syncope
123,numbness
124,chest discomfort
125,shortness of breath
126,st segment depression
127,worry
128,t wave inverted
129,bradycardia
130,dyspnea
131,fever
132,erythema
133,decreased translucency
134,hepatosplenomegaly
135,chill
136,pruritus
137,diarrhea
138,abscess bacterial
139,swelling
140,pain
141,apyrexial
142,cough
143,fever
144,dysuria
145,hematuria
146,renal angle tenderness
147,lethargy
148,asthenia
149,hyponatremia
150,hemodynamically stable
151,distress respiratory
152,difficulty passing urine
153,mental status changes
154,consciousness clear
155,chill
156,guaiac positive
157,monoclonal
158,ecchymosis
159,tumor cell invasion
160,haemorrhage
161,pallor
162,asthenia
163,fatigue
164,heme positive
165,pain back
166,orthostasis
167,hyponatremia
168,dizziness
169,shortness of breath
170,pain
171,rhonchus
172,arthralgia
173,swelling
174,transaminitis
175,shortness of breath
176,wheezing
177,cough
178,dyspnea
179,distress respiratory
180,sputum purulent
181,hypoxemia
182,hypercapnia
183,patient non compliance
184,chest tightness
185,fever
186,fall
187,unresponsiveness
